id;account_number;balance;created_by;created_date;last_modified_by;last_modified_date
68c363c9-c302-4cd1-a8b1-645c2d4a9129;huddle;17389.41;terrible;2025-02-19T18:53:42;whoa internalise drat;2025-02-19T16:50:33
944b2c80-dcac-4372-89ac-cc0519710636;disinherit so enchanted;21931.69;concrete amid austere;2025-02-19T17:01:19;responsibility after hence;2025-02-19T09:40:54
e3dbf5d1-9968-4eda-91d6-83bb987eadd7;thread eventually;27020.39;instead after;2025-02-19T18:06:10;tall geez lay;2025-02-19T15:08:22
28dce650-055f-4c84-a414-4a5f27b4b463;haze out correctly;11903.26;bravely jealous cheerful;2025-02-19T15:36:17;warp;2025-02-19T23:42:04
c7f37aa0-2d46-4003-b1b0-f99de7abcf2f;cassava;23422.68;yearningly pack;2025-02-19T16:47:53;oh;2025-02-20T03:02:33
c917d9c5-f1f1-464c-9660-158656250d36;dreamily;18403.17;aw;2025-02-19T22:35:15;under;2025-02-19T16:34:35
49116c96-d6c6-4fc6-8217-e1779ea2440c;towards;19716.21;successfully;2025-02-19T12:54:23;supposing braid limping;2025-02-19T14:21:21
79171186-708d-4867-b820-3659163a5f34;provision wherever;18331.52;flat;2025-02-19T19:59:46;plain bob from;2025-02-19T13:51:23
4c6df11c-e842-4cb1-b217-f1a5ca3f7c85;give yum delightfully;21223.6;uh-huh playfully;2025-02-20T05:30:56;firm;2025-02-20T02:36:34
7aca9fc5-5875-40be-a529-83d907d8544c;brightly;18906.13;resource versus different;2025-02-19T17:36:12;wherever illusion;2025-02-19T10:45:23
