id;citizen_id;thai_name;english_name;created_by;created_date;last_modified_by;last_modified_date
5237e674-035c-4f61-96c1-f2c666f2f19b;overtrain instructive;mealy famously;deselect fathom;hence hoof obsess;2025-02-19T12:50:47;rarely;2025-02-20T03:52:54
cd9cc370-05b0-4a21-a07f-ff66ac48f8f5;why tremendously;depute;birdbath;outbid very;2025-02-20T06:31:57;compete eyeglasses;2025-02-20T01:19:57
632ea568-dc30-426b-8a17-39a205e4a6a4;canter that;despite mmm past;old emotional oval;furthermore why;2025-02-19T17:17:02;bookcase;2025-02-19T20:34:05
fbfe80f7-2066-4859-8996-0200f4c0646d;especially vain;brr unimportant joyous;rough;near stock uh-huh;2025-02-19T13:36:41;furthermore;2025-02-20T06:27:07
64fdf305-9abb-4b71-99e6-721794e1b38a;across;pivot;helpfully;gosh what as;2025-02-20T00:54:50;ha kookily;2025-02-20T02:52:07
6c9e64ca-3dcb-4272-a39f-28919eb23ae0;gadzooks scent;intent;webbed;phew calmly;2025-02-20T02:59:33;mantua mentor;2025-02-20T04:17:57
da66ee1a-32f7-46ae-b301-d8f4b1bc0e6a;meanwhile ick when;sternly worriedly;bah whose carouse;smoothly;2025-02-19T11:44:51;violently ah now;2025-02-19T10:58:25
30e1daac-5b88-46ee-9de2-161eb0ff7e7c;badly whereas;than morbidity boastfully;who;doing practical;2025-02-19T11:33:45;phooey ack;2025-02-19T22:18:56
b9f9ec76-16d9-4d84-a851-c0ccb8974869;whenever physically verbally;huzzah;zowie oof;yet between below;2025-02-19T20:30:31;ha male;2025-02-19T18:35:26
371671d9-f0d3-4a84-a161-8c6da9fed5cc;speedily geez following;lest;annually except meh;oh case;2025-02-19T14:09:17;meh;2025-02-19T21:07:29
