id;employee_id;thai_name;english_name;created_by;created_date;last_modified_by;last_modified_date
4a5bbeb2-ae82-4cdb-bd3d-77585b1ad871;furthermore;bah downright;tabulate;yahoo tough;2025-02-19T12:33:59;light wildly;2025-02-19T11:10:01
4b6fa8ae-f502-44a6-8d66-377b78dd454e;ack;sometimes;dicker floss;now;2025-02-19T21:49:14;whenever parsnip roadway;2025-02-20T02:31:37
4a42cdbb-7140-40ba-8dd4-5c74d0066e8b;broadly round inspection;natural once;shocked;carelessly;2025-02-19T20:11:22;nicely culminate;2025-02-20T07:29:29
102b7c2d-0ee8-4725-b7d1-427547a0eeb7;moor lest;considering;pushy;mmm short-term modulo;2025-02-20T06:23:11;agreement bah rewarding;2025-02-19T18:16:42
160cb063-d0fa-4b2b-918d-2564b3258718;supposing;gently controvert;ironclad;woeful;2025-02-20T02:55:34;weekly fisherman;2025-02-20T00:37:46
3da4d26c-a4df-4b0b-82ba-60b8f498cea0;ambitious recent carnival;department bitterly poppy;till;eek;2025-02-20T04:03:55;vicinity;2025-02-19T12:10:40
46021a4b-eb1a-4a82-97fd-094703307067;exacerbate pessimistic yawningly;mundane;until volunteer pastel;tune;2025-02-20T06:11:36;pfft yippee;2025-02-19T10:41:40
3d34b428-c8bd-4fe6-af00-9da5c26cc4ae;slushy bah;yum hm;concerning;economise on adventurously;2025-02-20T00:17:02;outfit impossible towards;2025-02-19T19:01:38
e6464405-c978-4428-960b-b221a7d2b4a3;nor bah manipulate;scuttle seldom as;mockingly factorise;who;2025-02-20T06:15:14;into provider;2025-02-19T22:49:32
3118e430-ddb4-4a50-8534-a98e8d2bcd59;even suddenly;incidentally;slight diversity elevation;where;2025-02-19T23:47:52;after ah trustworthy;2025-02-19T09:06:03
